,clickstream_userid,S0,S1,S2,S3,Model Score S0,Model Score S1,Model Score S2,Model Score S3
1b1c4e91130d11ca56d4b30516986532,1b1c4e91130d11ca56d4b30516986532,1,0,0,0,0.74,0.0,0.16,0.1
dac2cb555ad40d68d74d06b2c1f92113,dac2cb555ad40d68d74d06b2c1f92113,0,0,0,1,0.38,0.02,0.14,0.12
6befd42c36a2ae109b368faf57ed3452,6befd42c36a2ae109b368faf57ed3452,1,0,0,0,0.76,0.06,0.26,0.02
f40e40f2cb341d3089094e424a3cc5bc,f40e40f2cb341d3089094e424a3cc5bc,0,0,1,0,0.12,0.06,0.7,0.08
8b9e6309ad8eae6536c8d9a32bc484f3,8b9e6309ad8eae6536c8d9a32bc484f3,0,0,1,0,0.12,0.06,0.3,0.06
2aad045c492b67bc30cd70c6df1aa6b4,2aad045c492b67bc30cd70c6df1aa6b4,1,0,0,0,0.8,0.0,0.48,0.02
62199e05d9b16f6d671ae8120909bc3c,62199e05d9b16f6d671ae8120909bc3c,0,0,1,0,0.14,0.06,0.8,0.06
e133c61f9dbd488244a8eab0db29ca20,e133c61f9dbd488244a8eab0db29ca20,0,0,1,0,0.12,0.02,0.74,0.04
4bb8a9d879639ba714c4c54633820c7d,4bb8a9d879639ba714c4c54633820c7d,1,0,0,0,0.64,0.04,0.42,0.04
05e17a35fe95d3a019560f96b602104a,05e17a35fe95d3a019560f96b602104a,0,0,1,0,0.2,0.04,0.74,0.1
9ad7280c413da75ba82fcd5a2ec1ec1a,9ad7280c413da75ba82fcd5a2ec1ec1a,0,0,1,0,0.18,0.0,0.72,0.08
b928fd13783dfa432b500c664f85c992,b928fd13783dfa432b500c664f85c992,1,0,0,0,0.74,0.04,0.14,0.04
4bc3f06cba13a0938b9d9dc2c29cf1f5,4bc3f06cba13a0938b9d9dc2c29cf1f5,1,0,0,0,0.84,0.06,0.12,0.02
99d4e1e69eb8c1177d27be229391d608,99d4e1e69eb8c1177d27be229391d608,0,0,1,0,0.16,0.08,0.48,0.06
af1f270e00a2a2d67ae89fd674d2922b,af1f270e00a2a2d67ae89fd674d2922b,0,0,1,0,0.1,0.06,0.84,0.04
2c332c138741083f8af7bd059222f5c6,2c332c138741083f8af7bd059222f5c6,1,0,0,0,0.7,0.0,0.2,0.04
dafd925aeef802b683ee8ea4fbbabe6b,dafd925aeef802b683ee8ea4fbbabe6b,0,0,1,0,0.1,0.04,0.8,0.04
447e3459dd193d817b77b7949b391e34,447e3459dd193d817b77b7949b391e34,0,0,1,0,0.24,0.26,0.48,0.06
1b522e6ba7d52b59c81b6e4bfa9a97df,1b522e6ba7d52b59c81b6e4bfa9a97df,1,0,0,0,0.86,0.06,0.14,0.02
7686d99faa7f2c743ceac6f60c9bf160,7686d99faa7f2c743ceac6f60c9bf160,0,0,1,0,0.16,0.06,0.78,0.04
69c39504087213e5043b925b9fb5ced5,69c39504087213e5043b925b9fb5ced5,1,0,0,0,0.74,0.06,0.14,0.02
e5341deeaf487526f7015d3342e29535,e5341deeaf487526f7015d3342e29535,1,0,0,0,0.38,0.08,0.22,0.04
83257783cfff790b57609a549e15bcea,83257783cfff790b57609a549e15bcea,1,0,0,0,0.78,0.06,0.12,0.06
3824f303a8b5de9cc23a6998f6b43f04,3824f303a8b5de9cc23a6998f6b43f04,1,0,0,0,0.72,0.0,0.2,0.04
cd046b7ea4ce34024fbf6eb9c41a646b,cd046b7ea4ce34024fbf6eb9c41a646b,1,0,0,0,0.78,0.0,0.26,0.06
de5b9911597ce30a3c41ddc032e5ea1c,de5b9911597ce30a3c41ddc032e5ea1c,1,0,0,0,0.84,0.04,0.14,0.04
424abb690ed95624ea0895519f284530,424abb690ed95624ea0895519f284530,1,0,0,0,0.78,0.02,0.12,0.04
40dea094d69f9ae73bba08b20f413ddf,40dea094d69f9ae73bba08b20f413ddf,0,0,1,0,0.06,0.08,0.66,0.02
584457b3173dafe0c3bb8b844fab9a8f,584457b3173dafe0c3bb8b844fab9a8f,0,0,1,0,0.1,0.04,0.82,0.04
23fbd798bc02ceb47067adaaac0637b0,23fbd798bc02ceb47067adaaac0637b0,0,1,0,0,0.16,0.68,0.1,0.06
d1e42be047faa59d23382b787a72f0bf,d1e42be047faa59d23382b787a72f0bf,0,0,0,1,0.2,0.18,0.06,0.06
bbc1978ff98b862141b636ead8599fa9,bbc1978ff98b862141b636ead8599fa9,1,0,0,0,0.72,0.02,0.16,0.0
16917f25a3c1c40b62a0387424902e1e,16917f25a3c1c40b62a0387424902e1e,0,0,0,1,0.1,0.02,0.1,0.72
8f01424a37320a4db9c71656ab62fc02,8f01424a37320a4db9c71656ab62fc02,0,0,0,1,0.12,0.0,0.12,0.68
022ffd63d1de419f2cb4c32f27553cc2,022ffd63d1de419f2cb4c32f27553cc2,0,0,1,0,0.12,0.08,0.74,0.06
bc665547a45b4316b555d9613c71a7b3,bc665547a45b4316b555d9613c71a7b3,0,0,0,1,0.24,0.06,0.2,0.82
d4ecf03a2908e063a48bdf6234b620f6,d4ecf03a2908e063a48bdf6234b620f6,0,0,1,0,0.08,0.2,0.82,0.14333333333333334
4f9178af7f493e83781ae3f6605b5393,4f9178af7f493e83781ae3f6605b5393,1,0,0,0,0.76,0.04,0.12,0.02
de9d05082b0750d90a7bc930845164e8,de9d05082b0750d90a7bc930845164e8,0,0,1,0,0.16,0.04,0.8,0.08
a1f1c7c3500a104d961a500ada7278aa,a1f1c7c3500a104d961a500ada7278aa,1,0,0,0,0.82,0.02,0.16,0.02
7b36da5caeee8c4d436ea7f37bf4445c,7b36da5caeee8c4d436ea7f37bf4445c,1,0,0,0,0.7,0.02,0.12,0.02
19dcde83b75af6808aa5b7da1165c1aa,19dcde83b75af6808aa5b7da1165c1aa,0,0,0,1,0.16,0.1,0.52,0.74
b27f331af428e3ada682270f25c9a510,b27f331af428e3ada682270f25c9a510,0,0,1,0,0.14,0.04,0.8,0.08
e6352e5c94cde6431b412c2d8b5e808b,e6352e5c94cde6431b412c2d8b5e808b,0,0,1,0,0.36,0.0,0.8,0.04
3e883fe39e3125667e34633e8fe50cc0,3e883fe39e3125667e34633e8fe50cc0,0,0,1,0,0.14,0.06,0.8,0.08
558d2324c1eba12b3e9829eededa160d,558d2324c1eba12b3e9829eededa160d,0,0,1,0,0.18,0.08,0.86,0.06
3712ab08c6dfed3febacb1df422ba8d8,3712ab08c6dfed3febacb1df422ba8d8,1,0,0,0,0.82,0.0,0.24,0.06
269d0f182473cb328286f7dd9ddf221f,269d0f182473cb328286f7dd9ddf221f,1,0,0,0,0.64,0.0,0.08,0.14
0395d99a97829d2032944bdd1964e25d,0395d99a97829d2032944bdd1964e25d,0,0,0,1,0.4,0.06,0.14,0.76
6f8b139ed511bcf86090091ed7e231d0,6f8b139ed511bcf86090091ed7e231d0,0,1,0,0,0.16,0.42,0.18,0.06
17c4a639a85b636165e63bab39ccce66,17c4a639a85b636165e63bab39ccce66,1,0,0,0,0.68,0.02,0.34,0.06
d910682a585cf6cd4534ce856a30e9d4,d910682a585cf6cd4534ce856a30e9d4,1,0,0,0,0.82,0.06,0.14,0.06
a54f3f74042f8a0cd99faed44ae30e4e,a54f3f74042f8a0cd99faed44ae30e4e,0,0,1,0,0.2,0.0,0.84,0.02
8160517c808c4e34c5cfc4488b8d3afa,8160517c808c4e34c5cfc4488b8d3afa,1,0,0,0,0.76,0.02,0.12,0.02
4a70292a9981308c737404da73bb0acd,4a70292a9981308c737404da73bb0acd,1,0,0,0,0.8,0.04,0.24,0.0
76b908ba4289621c0c2f58f1baf89b8f,76b908ba4289621c0c2f58f1baf89b8f,0,0,1,0,0.16,0.0,0.84,0.02
d7e049fe11f3acba6ac7da9e04dbd1ec,d7e049fe11f3acba6ac7da9e04dbd1ec,0,1,0,0,0.14,0.66,0.16,0.1
2489c6ddddf307fc1df586ed8d323733,2489c6ddddf307fc1df586ed8d323733,0,0,1,0,0.14,0.02,0.82,0.04
e4ef1d8eaba89334e8827b0e520e6254,e4ef1d8eaba89334e8827b0e520e6254,1,0,0,0,0.68,0.02,0.12,0.04
a7570e06df6e61b10615efb2e6b40730,a7570e06df6e61b10615efb2e6b40730,1,0,0,0,0.84,0.1,0.2,0.02
805da4a09bed0b8bc73f5272deb2a30e,805da4a09bed0b8bc73f5272deb2a30e,0,0,1,0,0.18,0.04,0.8,0.06
05e93d50427518dd2c8b7d466ad16f01,05e93d50427518dd2c8b7d466ad16f01,1,0,0,0,0.74,0.04,0.2,0.06
83b1a7984422433b0bd6a530e613d105,83b1a7984422433b0bd6a530e613d105,0,0,1,0,0.1,0.02,0.84,0.02
aee49058b55264584a7cab295ce22358,aee49058b55264584a7cab295ce22358,0,1,0,0,0.1,0.68,0.26,0.08
600ed8dc8b1546113036ddf62c51a09d,600ed8dc8b1546113036ddf62c51a09d,1,0,0,0,0.84,0.0,0.1,0.04
c01162e78b2b87c8c43f51e1fffbffc7,c01162e78b2b87c8c43f51e1fffbffc7,0,0,1,0,0.16,0.04,0.78,0.06
38e234b42b941bc9eb16f5a2ffe4c004,38e234b42b941bc9eb16f5a2ffe4c004,0,0,1,0,0.24,0.08,0.94,0.04
fbd4ec8fab92b5419997a21b76d5244a,fbd4ec8fab92b5419997a21b76d5244a,1,0,0,0,0.72,0.06,0.12,0.06
05cab402d647266c9fe35dac24859b27,05cab402d647266c9fe35dac24859b27,1,0,0,0,0.32,0.24,0.22,0.06
5b512237db3db0febf6e7d09138fb542,5b512237db3db0febf6e7d09138fb542,0,0,0,1,0.22,0.02,0.04,0.66
7c8044d4a3b4d6cf027afa79af82bbd7,7c8044d4a3b4d6cf027afa79af82bbd7,1,0,0,0,0.84,0.0,0.32,0.06
95bf38deb8ac6164e650aa7f5d4b8516,95bf38deb8ac6164e650aa7f5d4b8516,0,1,0,0,0.16,0.68,0.22,0.04
f101d52308240efc45055b4dd31ba8d0,f101d52308240efc45055b4dd31ba8d0,0,0,0,1,0.16,0.02,0.12,0.66
7667d9a583cc1dc923ae7807ee3675df,7667d9a583cc1dc923ae7807ee3675df,1,0,0,0,0.72,0.02,0.12,0.18
3934aa7ad808e732d9704e247e68277a,3934aa7ad808e732d9704e247e68277a,1,0,0,0,0.9,0.04,0.12,0.0
5285880fa3387f643d7cc04e9469e5ec,5285880fa3387f643d7cc04e9469e5ec,1,0,0,0,0.74,0.02,0.14,0.12
564ab69acfa55394f316225dc98c2151,564ab69acfa55394f316225dc98c2151,0,0,1,0,0.14,0.02,0.74,0.04
07193bd47c2b6724bdb2e0d5342d9f83,07193bd47c2b6724bdb2e0d5342d9f83,1,0,0,0,0.7,0.02,0.18,0.04
62964fe603ba17822cbad1669c45a6bf,62964fe603ba17822cbad1669c45a6bf,0,0,1,0,0.06,0.06,0.8,0.04
2e1d50f9973bf5cdc5cecbb119287601,2e1d50f9973bf5cdc5cecbb119287601,0,0,1,0,0.4,0.12,0.8,0.08
ae9f4f4968cb5523356780b97b05fc4b,ae9f4f4968cb5523356780b97b05fc4b,0,1,0,0,0.06,0.6,0.12,0.04
8940f2fd6d6affe4712a173d304031c5,8940f2fd6d6affe4712a173d304031c5,1,0,0,0,0.32,0.0,0.16,0.06
d5218b985b7922347bd613badd8f9192,d5218b985b7922347bd613badd8f9192,0,0,1,0,0.14,0.16,0.7,0.04
c36c0dcf0834a6bfcc9edcaddf4f1df5,c36c0dcf0834a6bfcc9edcaddf4f1df5,1,0,0,0,0.82,0.02,0.2,0.06
c6a1ea45852457f8e529c11e51e983c3,c6a1ea45852457f8e529c11e51e983c3,0,0,1,0,0.14,0.06,0.84,0.0
b54eee057dfa23ebd341d9869ca1b654,b54eee057dfa23ebd341d9869ca1b654,0,0,1,0,0.12,0.04,0.42,0.08
9b545ebb60114345017686f02a4a60ca,9b545ebb60114345017686f02a4a60ca,1,0,0,0,0.36,0.06,0.16,0.02
bd6517529ce6e26dd7dfd7ad53fdd413,bd6517529ce6e26dd7dfd7ad53fdd413,0,0,1,0,0.18,0.06,0.78,0.06
87468f8bbcc997d22c7ebc482fce8a78,87468f8bbcc997d22c7ebc482fce8a78,0,0,1,0,0.1,0.04,0.76,0.02
a8bc24c1c75ceef9ae77808428939228,a8bc24c1c75ceef9ae77808428939228,0,0,1,0,0.08,0.0,0.74,0.0
e163cc891fcf826596f3d213da76fcb4,e163cc891fcf826596f3d213da76fcb4,1,0,0,0,0.64,0.02,0.16,0.0
b4a0cba35e7bea77122aab136a011618,b4a0cba35e7bea77122aab136a011618,1,0,0,0,0.82,0.06,0.46,0.26
8b070db6257b16a800621b3032c3e34c,8b070db6257b16a800621b3032c3e34c,0,0,1,0,0.08,0.02,0.72,0.08
7d86608c0e7f1b45faf76b8579ab282e,7d86608c0e7f1b45faf76b8579ab282e,0,0,1,0,0.26,0.0,0.68,0.08
6020a275281d322160091c712766cc53,6020a275281d322160091c712766cc53,1,0,0,0,0.76,0.02,0.18,0.04
f20b2f6c763e5b60e0c73330e7d613de,f20b2f6c763e5b60e0c73330e7d613de,0,0,1,0,0.1,0.08,0.82,0.06
111a7ca095008fcef6a3f3c7d567dbb6,111a7ca095008fcef6a3f3c7d567dbb6,0,0,0,1,0.14,0.08,0.1,0.66
4d8521663ba34dd2bad1b158e700f9e0,4d8521663ba34dd2bad1b158e700f9e0,0,0,1,0,0.18,0.08,0.8,0.08
99ce318223aadb5cb7752eb213e9c2ba,99ce318223aadb5cb7752eb213e9c2ba,0,1,0,0,0.16,0.12,0.1,0.02
3e9d92dd6adb784b192046772c095e29,3e9d92dd6adb784b192046772c095e29,0,0,1,0,0.16,0.04,0.8,0.2
1fd788112956e2125f0fada2ddff35e4,1fd788112956e2125f0fada2ddff35e4,1,0,0,0,0.8,0.08,0.1,0.12
178ba6bd1cbef279a08b1b5c21adca3a,178ba6bd1cbef279a08b1b5c21adca3a,1,0,0,0,0.76,0.08,0.08,0.02
72aa9dc99abeb5d44e60eab0c5216b42,72aa9dc99abeb5d44e60eab0c5216b42,1,0,0,0,0.32,0.08,0.12,0.04
8b71d3308faafb087b0dc1e41182d116,8b71d3308faafb087b0dc1e41182d116,0,0,0,1,0.1,0.04,0.12,0.66
a860de98a00718b6cc325662e5e68c9d,a860de98a00718b6cc325662e5e68c9d,1,0,0,0,0.86,0.08,0.12,0.12
5476e58b608b16603341ee6567a60259,5476e58b608b16603341ee6567a60259,1,0,0,0,0.74,0.06,0.1,0.06
053b7f5dc27d7d69591ebbb6ed0bd30c,053b7f5dc27d7d69591ebbb6ed0bd30c,0,0,0,1,0.04,0.06,0.22,0.58
cb477ef43fd015536549f9b6e83642d0,cb477ef43fd015536549f9b6e83642d0,1,0,0,0,0.76,0.02,0.22,0.24
7685c24aeb766b70a088a880dabfe1a4,7685c24aeb766b70a088a880dabfe1a4,0,0,0,1,0.24,0.02,0.22,0.62
c04ffb9b27bed02dfc246d0d5ba01066,c04ffb9b27bed02dfc246d0d5ba01066,1,0,0,0,0.8,0.14,0.16,0.16
8e7c895d9f697d6c1ae812c62d523b63,8e7c895d9f697d6c1ae812c62d523b63,0,1,0,0,0.36,0.82,0.06,0.08
e265300ba9d678233ecee00c39ad1c32,e265300ba9d678233ecee00c39ad1c32,1,0,0,0,0.7542142857142856,0.24801731601731603,0.0,0.0
0e407dc8fa5d2a4e5eb12cc70746ad9c,0e407dc8fa5d2a4e5eb12cc70746ad9c,0,0,1,0,0.12,0.0,0.84,0.04
ce3193789ee9f7500af3f30edda3e603,ce3193789ee9f7500af3f30edda3e603,0,0,1,0,0.22,0.1,0.7,0.06
4d903a7611be606f86f038af6c73f7d0,4d903a7611be606f86f038af6c73f7d0,0,1,0,0,0.22,0.64,0.08,0.08
e63a800542775f6e2427a3753e06fbfd,e63a800542775f6e2427a3753e06fbfd,0,0,0,1,0.12,0.16,0.12,0.56
fe410b4b3a685555bbc5519814f49d87,fe410b4b3a685555bbc5519814f49d87,0,0,1,0,0.28,0.0,0.78,0.06
d6a28abb682f5084dd5deda848f42fd5,d6a28abb682f5084dd5deda848f42fd5,0,0,0,1,0.2,0.08,0.16,0.7
3dda16c743bc01c33c9835616109eef3,3dda16c743bc01c33c9835616109eef3,0,0,0,1,0.12,0.02,0.08,0.74
84df1fee03f9e333bab794d3a9841d97,84df1fee03f9e333bab794d3a9841d97,0,1,0,0,0.2,0.54,0.22,0.08
7be280044a40ce43ff6d8930fe465a57,7be280044a40ce43ff6d8930fe465a57,1,0,0,0,0.4,0.0,0.14,0.1
dce3dd85ddbf7e5f113d83eb2fdb4d91,dce3dd85ddbf7e5f113d83eb2fdb4d91,0,1,0,0,0.14,0.7,0.16,0.08
8a3c1ff4db0617f0541ed2f45304a62a,8a3c1ff4db0617f0541ed2f45304a62a,0,0,0,1,0.2,0.06,0.14,0.72
f9fe6e6113a5d4a8bb19bfefa42c2cad,f9fe6e6113a5d4a8bb19bfefa42c2cad,0,0,1,0,0.14,0.0,0.74,0.0
f640cac4ef7f27e22b7198e771ab2340,f640cac4ef7f27e22b7198e771ab2340,0,0,1,0,0.18,0.02,0.32,0.04
08162c4fdb0b51c7b05d005cf116d31a,08162c4fdb0b51c7b05d005cf116d31a,0,0,1,0,0.14,0.08,0.8,0.02
302767bb979e5d14bc09f90ff2fd6712,302767bb979e5d14bc09f90ff2fd6712,0,0,1,0,0.22,0.04,0.82,0.08
e09900071f429fb1c69db174b616f95e,e09900071f429fb1c69db174b616f95e,0,0,1,0,0.18,0.02,0.84,0.02
d3a971e60917dd379ac1dc721a3401ba,d3a971e60917dd379ac1dc721a3401ba,0,0,1,0,0.14,0.2,0.32,0.06
234d4c2a1bfb6bd116465e87cb5dda4c,234d4c2a1bfb6bd116465e87cb5dda4c,0,0,1,0,0.2,0.1,0.74,0.08
b219025b9efe9dd3ce59338b367f39cb,b219025b9efe9dd3ce59338b367f39cb,0,0,0,1,0.06,0.02,0.12,0.18
628a567cdb7858ca2def4bb556f6e36d,628a567cdb7858ca2def4bb556f6e36d,0,1,0,0,0.06,0.8,0.18,0.02
e9b3aede605490ac94bd9f65dcef7132,e9b3aede605490ac94bd9f65dcef7132,0,0,0,1,0.08,0.06,0.18,0.62
3c08b50d33eaaca6be380f1ee5ade580,3c08b50d33eaaca6be380f1ee5ade580,0,1,0,0,0.12,0.66,0.2,0.0
f6f86a90e047ec9b877d7bde8c4f35bc,f6f86a90e047ec9b877d7bde8c4f35bc,1,0,0,0,0.72,0.02,0.1,0.06
1aa95102a2453aa55fb3d11048bddf06,1aa95102a2453aa55fb3d11048bddf06,0,0,1,0,0.14,0.02,0.74,0.06
fdb0daf51c8dc9757fed0052f61ee4d9,fdb0daf51c8dc9757fed0052f61ee4d9,1,0,0,0,0.9,0.12,0.14,0.04
251dd4fd054cff01745c1cf78fa90ae3,251dd4fd054cff01745c1cf78fa90ae3,0,0,0,1,0.12,0.04,0.28,0.14
5953490997c6d510d23f20b1e3293dc5,5953490997c6d510d23f20b1e3293dc5,0,0,1,0,0.18,0.02,0.88,0.04
93772e776c86946349f9dea2de3a9b66,93772e776c86946349f9dea2de3a9b66,0,0,1,0,0.12,0.02,0.82,0.02
5eb33e2d1b3feb87fc7882cc4dd1a12b,5eb33e2d1b3feb87fc7882cc4dd1a12b,0,0,1,0,0.18,0.08,0.76,0.04
b0274308884ae7d18abc4bfaa6609f2f,b0274308884ae7d18abc4bfaa6609f2f,0,0,1,0,0.084,0.02,0.88,0.0
42e6f50249e178250dfb7daf50ddae13,42e6f50249e178250dfb7daf50ddae13,0,0,1,0,0.12,0.0,0.82,0.06
ad0e605b4e09f5db2e3501c57cc59ef8,ad0e605b4e09f5db2e3501c57cc59ef8,0,0,0,1,0.14,0.06,0.22,0.74
b47bb1b6a46a428047b233c73ef56d1e,b47bb1b6a46a428047b233c73ef56d1e,0,0,0,1,0.28,0.04,0.16,0.64
b262bb0139e178676d1b4d9f0585e277,b262bb0139e178676d1b4d9f0585e277,0,0,1,0,0.14,0.02,0.28,0.0
fec6034fde3ff9e92ab2153b6ac28257,fec6034fde3ff9e92ab2153b6ac28257,1,0,0,0,0.76,0.02,0.46,0.02
955913d9cdfbe9f616271a85844cbf63,955913d9cdfbe9f616271a85844cbf63,1,0,0,0,0.72,0.04,0.16,0.0
7d0fbab384e0fb008fd889b99863560b,7d0fbab384e0fb008fd889b99863560b,0,1,0,0,0.14,0.58,0.06,0.04
be005582465253cefa5f399e3502a7ea,be005582465253cefa5f399e3502a7ea,0,0,1,0,0.1,0.04,0.86,0.02
d30907d62c4a3fc7507818c83345b3a6,d30907d62c4a3fc7507818c83345b3a6,1,0,0,0,0.88,0.04,0.14,0.04
929c9b227ec4ac4d17cbc7e5a73bdca3,929c9b227ec4ac4d17cbc7e5a73bdca3,0,0,1,0,0.12,0.08,0.74,0.02
2cee045de5af0177f3bca0661be9e141,2cee045de5af0177f3bca0661be9e141,0,0,1,0,0.2,0.02,0.78,0.02
9fe311d0e0aeb70f90295c8c8535bac3,9fe311d0e0aeb70f90295c8c8535bac3,0,0,0,1,0.12,0.06,0.12,0.72
60dbafdefd9eaa65ed64046b7aecda8a,60dbafdefd9eaa65ed64046b7aecda8a,1,0,0,0,0.88,0.22,0.14,0.04
ef5592b08993ca1daa81212e7948865b,ef5592b08993ca1daa81212e7948865b,0,0,1,0,0.1,0.04,0.78,0.04
1c82b9532e24377b782bc23e222f0ba0,1c82b9532e24377b782bc23e222f0ba0,0,0,1,0,0.16,0.02,0.78,0.06
08f1b3a5c7c7838b7438f89cd7fb5573,08f1b3a5c7c7838b7438f89cd7fb5573,1,0,0,0,0.82,0.08,0.12,0.08
e0951478aaa0c63dd99c8317290bde22,e0951478aaa0c63dd99c8317290bde22,0,0,1,0,0.12,0.06,0.8,0.04
110c7ed092aed57822fcbfcc21ecf5e2,110c7ed092aed57822fcbfcc21ecf5e2,0,0,1,0,0.08,0.0,0.68,0.1
5606d647d8fbb22687da0a088b8fe1af,5606d647d8fbb22687da0a088b8fe1af,0,0,1,0,0.2,0.06,0.62,0.12
77952c2328a714ced927e075581b37f3,77952c2328a714ced927e075581b37f3,0,0,0,1,0.16,0.08,0.2,0.74
ea7a5b65d204d5533ee9ed4a0822e8ca,ea7a5b65d204d5533ee9ed4a0822e8ca,0,0,1,0,0.16,0.02,0.82,0.06
2064c2e5866b6fef19dd7fef8b3cd6db,2064c2e5866b6fef19dd7fef8b3cd6db,0,0,1,0,0.2,0.06,0.74,0.08
2b18fece660feef9f8904489d1ed8053,2b18fece660feef9f8904489d1ed8053,0,0,1,0,0.1,0.02,0.76,0.02
ed7f21dabc7aa8f57a196bf43935fd6b,ed7f21dabc7aa8f57a196bf43935fd6b,0,0,1,0,0.2,0.16,0.76,0.04
e1ad2e461f5799fe352c781aa5e15173,e1ad2e461f5799fe352c781aa5e15173,1,0,0,0,0.72,0.0,0.02,0.04
f32e30e1e3b3be8c9d8fb9f0b16534eb,f32e30e1e3b3be8c9d8fb9f0b16534eb,1,0,0,0,0.78,0.04,0.08,0.08
9f91112c3c0b727668bc4022d20258af,9f91112c3c0b727668bc4022d20258af,0,0,1,0,0.26,0.06,0.76,0.02
6ba5bfbc92d8d64add52c184d96c414a,6ba5bfbc92d8d64add52c184d96c414a,0,0,1,0,0.12,0.02,0.9,0.02
765fafd44a2f6a8128e32ed88b625f8f,765fafd44a2f6a8128e32ed88b625f8f,1,0,0,0,0.82,0.04,0.16,0.04
69703cf9f21c4acf4f73f10a3459eb4d,69703cf9f21c4acf4f73f10a3459eb4d,0,1,0,0,0.2,0.64,0.18,0.02
ee74be8c487e59650a1faf8b4ca08ce6,ee74be8c487e59650a1faf8b4ca08ce6,0,0,1,0,0.12,0.18,0.74,0.22
218d48bc8d6d8fcab62dbe916394e9d6,218d48bc8d6d8fcab62dbe916394e9d6,0,0,1,0,0.14,0.08,0.84,0.02
3223eacc1deedebee4e36e59d24facdc,3223eacc1deedebee4e36e59d24facdc,1,0,0,0,0.28,0.04,0.22,0.02
2057bf030aa14fbd86ff3e398e842deb,2057bf030aa14fbd86ff3e398e842deb,0,0,1,0,0.12,0.02,0.84,0.0
61293bd05526ada158db9567355c3b2b,61293bd05526ada158db9567355c3b2b,1,0,0,0,0.4,0.02,0.22,0.02
bd3564ba09e178b13a01359d906319d3,bd3564ba09e178b13a01359d906319d3,1,0,0,0,0.78,0.08,0.14,0.1
b4af800e2042161f98bdb656d34b34a7,b4af800e2042161f98bdb656d34b34a7,0,0,1,0,0.12,0.06,0.84,0.02
bf6caad07826cabfe9ddc6b94fc5e3cc,bf6caad07826cabfe9ddc6b94fc5e3cc,0,0,1,0,0.1,0.18,0.84,0.08
6aae143c0118ddaa731b09e69609da02,6aae143c0118ddaa731b09e69609da02,1,0,0,0,0.82,0.06,0.16,0.02
98645eb5f0a339e6b6343dcc0c6c7aea,98645eb5f0a339e6b6343dcc0c6c7aea,1,0,0,0,0.64,0.04,0.1,0.06
da750700dea2d8d93fdbb10ad085c0c5,da750700dea2d8d93fdbb10ad085c0c5,1,0,0,0,0.72,0.0,0.14,0.04
783eb1f401818405e365bb9c2e036e7b,783eb1f401818405e365bb9c2e036e7b,0,1,0,0,0.18,0.14,0.16,0.1
1686986e3e4806f63f76fb88e7e376a6,1686986e3e4806f63f76fb88e7e376a6,0,0,1,0,0.18,0.06,0.7,0.06
ce22cd258e822ea8a55bbd84043711f8,ce22cd258e822ea8a55bbd84043711f8,0,1,0,0,0.14,0.54,0.22,0.02
b5d760713be560a348c0e4ce9c928f0f,b5d760713be560a348c0e4ce9c928f0f,1,0,0,0,0.82,0.0,0.1,0.04
e3517ca10fe95c4dcaf05c894b7daefb,e3517ca10fe95c4dcaf05c894b7daefb,0,0,0,1,0.1,0.02,0.18,0.72
ebfc64703a6e142895962d971c3c0622,ebfc64703a6e142895962d971c3c0622,0,0,1,0,0.18,0.02,0.56,0.06
d9ab1695bead1bae885665c128c8b8eb,d9ab1695bead1bae885665c128c8b8eb,0,0,1,0,0.08,0.06,0.88,0.02
d4437172f6ebddbb87c31a91b6cf2816,d4437172f6ebddbb87c31a91b6cf2816,0,0,1,0,0.1,0.1,0.78,0.04
1adac19132f4dcbf719f47e2475ab0bc,1adac19132f4dcbf719f47e2475ab0bc,0,0,1,0,0.14,0.02,0.32,0.08
9b7718f73b1f4ee6d27414d9cbb47e93,9b7718f73b1f4ee6d27414d9cbb47e93,0,1,0,0,0.14,0.72,0.2,0.18
adce6c1a00d79bd793ecfa1b2c051795,adce6c1a00d79bd793ecfa1b2c051795,0,1,0,0,0.1,0.66,0.14,0.06
de9dcf6fbd8a471d1491e06857ad6a99,de9dcf6fbd8a471d1491e06857ad6a99,1,0,0,0,0.8,0.02,0.18,0.02
5b5a53aebb86fedfa5dd2b15233e8552,5b5a53aebb86fedfa5dd2b15233e8552,0,0,1,0,0.12,0.0,0.64,0.06
2f4ae5c16ac5c40c85c5ddb2188ffcc0,2f4ae5c16ac5c40c85c5ddb2188ffcc0,1,0,0,0,0.7,0.02,0.18,0.04
50ff7a7a6d63b4ff6777e4b97e4aa9e6,50ff7a7a6d63b4ff6777e4b97e4aa9e6,0,1,0,0,0.46,0.8,0.52,0.12
21a087d0078d7c70dfdb44345cb21cd6,21a087d0078d7c70dfdb44345cb21cd6,1,0,0,0,0.78,0.1,0.08,0.0
971b48f881810ede6da39e64e20b1fee,971b48f881810ede6da39e64e20b1fee,1,0,0,0,0.78,0.04,0.1,0.04
18527bc830d57f7df245988378363c98,18527bc830d57f7df245988378363c98,1,0,0,0,0.88,0.02,0.22,0.06
b2e52e635901c7dd86a219b3b382cc50,b2e52e635901c7dd86a219b3b382cc50,1,0,0,0,0.76,0.02,0.12,0.02
7f17e2a128ff4adc00db3b85a9dafb18,7f17e2a128ff4adc00db3b85a9dafb18,1,0,0,0,0.82,0.04,0.2,0.02
